Generated by http://statistics.gov.scot,2021-12-13T20:45:35+00:00
http://statistics.gov.scot/data/pupil-attainment,Pupil Attainment
measure type,Count
Reference Period,2012/2013
Number Of Awards,5
SCQF Level,6 And Above
Secondary School Stage,S6
Measure (cell values): ,Count(Pupils)

,,http://statistics.gov.scot/def/concept/gender/all,http://statistics.gov.scot/def/concept/gender/female,http://statistics.gov.scot/def/concept/gender/male
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,232,129,103
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,170,92,78
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,180,95,85
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,99,47,52
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,102,65,37
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,178,109,69
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,110,65,45
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,133,74,59
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,100,57,43
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,232,148,84
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",213,131,82
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,287,168,119
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,240,138,102
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,164,97,67
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,287,173,114
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,171,104,67
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,193,114,79
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",268,144,124
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,226,129,97
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,206,108,98
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,75,46,29
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,213,120,93
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,67,42,25
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,178,95,83
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,194,110,84
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,258,148,110
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,225,136,89
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,191,98,93
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,174,99,75
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,81,42,39
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",268,158,110
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,250,134,116
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,412,230,182
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,209,127,82
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,1035,584,451
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,391,205,186
